Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
74703,5,338578,-6,475209,-5,262005, 
74781,5,293113,-6,554175,-5,195004, 
74858,5,427115,-6,415387,-5,240469, 
74935,5,326613,-6,458459,-5,307470, 
75013,5,269184,-6,441709,-5,159110, 
75090,5,336185,-6,415387,-5,247647, 
75168,5,281148,-6,525460,-5,214147, 
75246,5,362507,-6,432137,-5,180646, 
75323,5,317042,-6,491960,-5,259612, 
75401,5,379257,-6,518281,-5,154324, 
75478,5,374472,-6,432137,-5,221325, 
75555,5,300292,-6,573318,-5,235683, 
75633,5,321827,-6,491960,-5,307470, 
75710,5,314649,-6,448887,-5,252433, 
75789,5,283541,-6,523067,-5,161503, 
75866,5,381650,-6,458459,-5,209361, 
75943,5,345757,-6,499138,-5,221325, 
76021,5,379257,-6,527853,-5,192611, 
76098,5,324221,-6,532639,-5,168682, 
76175,5,369686,-6,475209,-5,173467, 
76253,5,355328,-6,446495,-5,180646, 
76331,5,386436,-6,515889,-5,156717, 
76408,5,331399,-6,525460,-5,187825, 
76486,5,357721,-6,549389,-5,132788, 
76563,5,367293,-6,570926,-5,185432, 
76641,5,333792,-6,479995,-5,211754, 
76718,5,305077,-6,491960,-5,206968, 
76795,5,393615,-6,499138,-5,197396, 
76874,5,381650,-6,511103,-5,192611, 
76951,5,367293,-6,520675,-5,151931, 
77028,5,348150,-6,525460,-5,159110, 
77106,5,348150,-6,520675,-5,223718, 
77183,5,374472,-6,448887,-5,190217, 
77260,5,362507,-6,558961,-5,092108, 
77338,5,410365,-6,451280,-5,128002, 
77416,5,345757,-6,551782,-5,192611, 
77494,5,300292,-6,525460,-5,242862, 
77571,5,391222,-6,458459,-5,305077, 
77648,5,333792,-6,482388,-5,135181, 
77726,5,355328,-6,525460,-5,101680, 
77803,5,422330,-6,475209,-5,104073, 
77880,5,376864,-6,496746,-5,072965, 
77958,5,451045,-6,590069,-5,180646, 
78036,5,386436,-6,491960,-5,120823, 
78113,5,283541,-6,573318,-5,211754, 
78191,5,278755,-6,518281,-5,111252, 
78268,5,415151,-6,477602,-5,130395, 
78346,5,393615,-6,558961,-5,089715, 
78423,5,398401,-6,472816,-5,139966, 
78500,5,374472,-6,563747,-5,053822, 
78579,5,374472,-6,405815,-5,252433, 
78656,5,412758,-6,592462,-5,108859, 
78733,5,364900,-6,422565,-5,264398, 
78811,5,415151,-6,532639,-5,163896, 
78888,5,345757,-6,453673,-5,214147, 
78965,5,396008,-6,460852,-5,221325, 
79043,5,396008,-6,484781,-5,151931, 
79121,5,355328,-6,487174,-5,238076, 
79199,5,376864,-6,405815,-5,156717, 
79276,5,386436,-6,489567,-5,266791, 
79353,5,338578,-6,527853,-5,218933, 
79431,5,458223,-6,324456,-5,154324, 
79508,5,405580,-6,422565,-5,247647, 
79585,5,295506,-6,546997,-5,178253, 
79664,5,412758,-6,398636,-5,283541, 
79741,5,362507,-6,501531,-5,273970, 
79818,5,374472,-6,456066,-5,242862, 
79896,5,343364,-6,398636,-5,329006, 
79973,5,381650,-6,434530,-5,228504, 
80051,5,393615,-6,369921,-5,226111, 
80128,5,355328,-6,434530,-5,369686, 
80206,5,372079,-6,420172,-5,350543, 
80284,5,331399,-6,412994,-5,278755, 
80361,5,336185,-6,403422,-5,326613, 
80438,5,340971,-6,422565,-5,345757, 
80516,5,300292,-6,456066,-5,362507, 
80593,5,302684,-6,456066,-5,257219, 
80670,5,376864,-6,362742,-5,391222, 
80749,5,329006,-6,357957,-5,324221, 
80826,5,300292,-6,360350,-5,273970, 
80904,5,290720,-6,518281,-5,340971, 
80981,5,498903,-6,877218,-4,895890, 
81058,5,171074,-5,206968,-1,763573, 
81136,12,234939,-9,478309,-5,211754, 
81213,11,579282,-5,556333,-1,000236, 
81291,8,865725,-4,017693,-1,012200, 
81369,7,418015,-2,112938,0,648478, 
81446,4,508239,-1,715715,-1,521890, 
81523,0,124431,-5,869803,-9,054764, 
81601,-3,029422,-7,611841,-15,884124, 
81678,-1,265848,-6,520675,-11,957362, 
81756,-1,325671,-4,881533,-8,135887, 
81833,1,545819,-6,025342,-6,020557, 
81911,5,726229,-8,437394,-5,391222, 
81989,6,453673,-8,243568,-5,132788, 
82066,6,219168,-6,247883,-1,955006, 
82143,12,266047,-7,920526,3,058136, 
82221,16,877180,-9,179195,4,824103, 
82298,9,346699,-5,343364,1,387887, 
82376,7,595090,-5,833910,-1,057665, 
82454,3,749687,-5,252433,-5,197396, 
82531,2,689629,-3,311785,-5,649656, 
82609,1,801860,-2,297192,-4,704457, 
82686,1,663071,-5,039464,-5,666406, 
82763,-0,574298,-10,031071,-8,982977, 
82841,-1,225169,-16,736000,-16,867609, 
82918,2,663307,-13,606075,-9,930569, 
82996,1,971756,-8,291427,-7,145224, 
83074,1,978935,-4,225876,-6,240705, 
83151,1,629570,-3,421859,-6,697750, 
83229,1,667857,-1,581712,-5,884161, 
83306,3,266320,-2,976778,-5,900911, 
83383,5,943984,-4,663778,-1,289778, 
83461,16,250238,-8,437394,7,611841, 
83539,11,210774,-1,330457,5,711872, 
83616,8,925548,-3,314178,1,655892, 
83694,4,496274,-3,134710,-4,644635, 
83771,3,239998,-2,258905,-6,097130, 
83849,4,108623,-5,759730,-7,614233, 
83926,4,015300,-6,250276,-6,659463, 
84003,5,611370,-7,097365,-3,450573, 
84082,-0,404401,-8,315355,-7,429980, 
84159,-0,186647,-10,969090,-6,582890, 
84236,0,854268,-17,212189,-12,782915, 
84314,1,217990,-12,510123,-8,121531, 
84391,1,555390,-8,245961,-5,448652, 
84469,2,902597,-7,820024,-7,336656, 
84546,4,048800,-6,089951,-5,108859, 
84624,2,481446,-3,340500,-3,553468, 
84702,4,060765,-5,003571,-4,938962, 
84779,5,369686,-3,675507,-2,404873, 
84856,11,294526,-5,774087,4,845639, 
84934,13,541467,-0,440295,5,934412, 
